Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 1 [0/49000 (0%)]	Train Loss: 2.303024	Val Loss: 2.302812	Val Acc: 10
Train Epoch: 1 [5120/49000 (10%)]	Train Loss: 2.275227	Val Loss: 2.254556	Val Acc: 19
Train Epoch: 1 [10240/49000 (21%)]	Train Loss: 2.237143	Val Loss: 2.214229	Val Acc: 20
Train Epoch: 1 [15360/49000 (31%)]	Train Loss: 2.177550	Val Loss: 2.173709	Val Acc: 23
Train Epoch: 1 [20480/49000 (42%)]	Train Loss: 2.121563	Val Loss: 2.112289	Val Acc: 29
Train Epoch: 1 [25600/49000 (52%)]	Train Loss: 2.074609	Val Loss: 2.048688	Val Acc: 27
Train Epoch: 1 [30720/49000 (62%)]	Train Loss: 2.013827	Val Loss: 1.992712	Val Acc: 30
Train Epoch: 1 [35840/49000 (73%)]	Train Loss: 1.950690	Val Loss: 1.937781	Val Acc: 31
Train Epoch: 1 [40960/49000 (83%)]	Train Loss: 1.887448	Val Loss: 1.883998	Val Acc: 33
Train Epoch: 1 [46080/49000 (94%)]	Train Loss: 1.826671	Val Loss: 1.843055	Val Acc: 35
Train Epoch: 2 [0/49000 (0%)]	Train Loss: 1.815787	Val Loss: 1.811831	Val Acc: 36
Train Epoch: 2 [5120/49000 (10%)]	Train Loss: 1.764631	Val Loss: 1.776590	Val Acc: 36
Train Epoch: 2 [10240/49000 (21%)]	Train Loss: 1.762001	Val Loss: 1.739895	Val Acc: 38
Train Epoch: 2 [15360/49000 (31%)]	Train Loss: 1.764396	Val Loss: 1.715927	Val Acc: 39
Train Epoch: 2 [20480/49000 (42%)]	Train Loss: 1.697629	Val Loss: 1.691808	Val Acc: 41
Train Epoch: 2 [25600/49000 (52%)]	Train Loss: 1.669900	Val Loss: 1.665191	Val Acc: 40
Train Epoch: 2 [30720/49000 (62%)]	Train Loss: 1.646509	Val Loss: 1.646207	Val Acc: 42
Train Epoch: 2 [35840/49000 (73%)]	Train Loss: 1.688443	Val Loss: 1.628934	Val Acc: 41
Train Epoch: 2 [40960/49000 (83%)]	Train Loss: 1.616303	Val Loss: 1.614763	Val Acc: 43
Train Epoch: 2 [46080/49000 (94%)]	Train Loss: 1.627126	Val Loss: 1.595378	Val Acc: 44
Train Epoch: 3 [0/49000 (0%)]	Train Loss: 1.602882	Val Loss: 1.592041	Val Acc: 43
Train Epoch: 3 [5120/49000 (10%)]	Train Loss: 1.532056	Val Loss: 1.577228	Val Acc: 44
Train Epoch: 3 [10240/49000 (21%)]	Train Loss: 1.659217	Val Loss: 1.563748	Val Acc: 44
Train Epoch: 3 [15360/49000 (31%)]	Train Loss: 1.653794	Val Loss: 1.548449	Val Acc: 44
Train Epoch: 3 [20480/49000 (42%)]	Train Loss: 1.569444	Val Loss: 1.542622	Val Acc: 44
Train Epoch: 3 [25600/49000 (52%)]	Train Loss: 1.584736	Val Loss: 1.539775	Val Acc: 46
Train Epoch: 3 [30720/49000 (62%)]	Train Loss: 1.471468	Val Loss: 1.518139	Val Acc: 46
Train Epoch: 3 [35840/49000 (73%)]	Train Loss: 1.495757	Val Loss: 1.514069	Val Acc: 45
Train Epoch: 3 [40960/49000 (83%)]	Train Loss: 1.519389	Val Loss: 1.505732	Val Acc: 46
Train Epoch: 3 [46080/49000 (94%)]	Train Loss: 1.493328	Val Loss: 1.497405	Val Acc: 47
Train Epoch: 4 [0/49000 (0%)]	Train Loss: 1.510700	Val Loss: 1.506410	Val Acc: 47
Train Epoch: 4 [5120/49000 (10%)]	Train Loss: 1.511973	Val Loss: 1.494464	Val Acc: 47
Train Epoch: 4 [10240/49000 (21%)]	Train Loss: 1.501666	Val Loss: 1.501355	Val Acc: 47
Train Epoch: 4 [15360/49000 (31%)]	Train Loss: 1.479470	Val Loss: 1.474345	Val Acc: 48
Train Epoch: 4 [20480/49000 (42%)]	Train Loss: 1.525052	Val Loss: 1.475830	Val Acc: 48
Train Epoch: 4 [25600/49000 (52%)]	Train Loss: 1.433970	Val Loss: 1.461652	Val Acc: 48
Train Epoch: 4 [30720/49000 (62%)]	Train Loss: 1.505585	Val Loss: 1.458636	Val Acc: 48
Train Epoch: 4 [35840/49000 (73%)]	Train Loss: 1.485199	Val Loss: 1.453870	Val Acc: 49
Train Epoch: 4 [40960/49000 (83%)]	Train Loss: 1.522021	Val Loss: 1.454441	Val Acc: 49
Train Epoch: 4 [46080/49000 (94%)]	Train Loss: 1.480647	Val Loss: 1.457287	Val Acc: 48
Train Epoch: 5 [0/49000 (0%)]	Train Loss: 1.405481	Val Loss: 1.442260	Val Acc: 50
Train Epoch: 5 [5120/49000 (10%)]	Train Loss: 1.456750	Val Loss: 1.440977	Val Acc: 50
Train Epoch: 5 [10240/49000 (21%)]	Train Loss: 1.436092	Val Loss: 1.436044	Val Acc: 50
Train Epoch: 5 [15360/49000 (31%)]	Train Loss: 1.379161	Val Loss: 1.423213	Val Acc: 50
Train Epoch: 5 [20480/49000 (42%)]	Train Loss: 1.409266	Val Loss: 1.420896	Val Acc: 50
Train Epoch: 5 [25600/49000 (52%)]	Train Loss: 1.474313	Val Loss: 1.421511	Val Acc: 50
Train Epoch: 5 [30720/49000 (62%)]	Train Loss: 1.474008	Val Loss: 1.412322	Val Acc: 51
Train Epoch: 5 [35840/49000 (73%)]	Train Loss: 1.478507	Val Loss: 1.417510	Val Acc: 50
